link,address,dealer,price,beds,baths,area
https://www.zillow.com/homedetails/926-Mountain-Meadows-Rd-Boulder-CO-80302/13192800_zpid/,"926 Mountain Meadows Rd, Boulder, CO 80302","RE/MAX OF BOULDER, INC, Jimmy Keith","$795,000",4,2,"4,228"
https://www.zillow.com/homedetails/8201-S-Santa-Fe-Dr-LOT-47-Littleton-CO-80120/63389727_zpid/,"8201 S Santa Fe Drive  Lot 47, Littleton, CO 80120","MLS ID #2330704, KELLER WILLIAMS PARTNERS REALTY","$115,000",4,2,"4,228"
https://www.zillow.com/homedetails/6495-Barnacle-Ct-Boulder-CO-80301/13200174_zpid/,"6495 Barnacle Court, Boulder, CO 80301","MLS ID #1649458, EQUITY COLORADO REAL ESTATE","$299,000",4,2,"4,228"
https://www.zillow.com/homedetails/1899-Villageview-Ln-Castle-Rock-CO-80104/249983286_zpid/,"1899 Villageview Lane, Castle Rock, CO 80104","MLS ID #3630726, PORCHLIGHT REAL ESTATE GROUP","$549,000",4,2,"4,228"
https://www.zillow.com/homedetails/115-Gcr-1-8360-Fraser-CO-80442/232081600_zpid/,"115 GCR 8360 UNIT 1, Fraser, CO 80442",THE REAL ESTATE COMPANY,"$769,000",3,2,"1,213"
https://www.zillow.com/homedetails/3845-Highview-Dr-Colorado-Springs-CO-80908/13554623_zpid/,"3845 Highview Dr, Colorado Springs, CO 80908",KELLER WILLIAMS CLIENTS CHOICE REALTY,"$699,900",3,2,"1,213"
https://www.zillow.com/homedetails/4163-Gray-Fox-Hts-Colorado-Springs-CO-80922/338033971_zpid/,"4163 Gray Fox Hts, Colorado Springs, CO 80922",EXP REALTY LLC,"$274,900",3,2,"1,213"
https://www.zillow.com/homedetails/2151-Silent-Rain-Dr-Colorado-Springs-CO-80919/13650535_zpid/,"2151 Silent Rain Dr, Colorado Springs, CO 80919",RE/MAX PROPERTIES INC,"$435,000",3,2,"1,213"
https://www.zillow.com/homedetails/458-E-4th-Ave-Durango-CO-81301/13935836_zpid/,"458 E 4th Ave, Durango, CO 81301",,"$895,000",3,2,"1,213"
https://www.zillow.com/homedetails/20221-E-Lasalle-Pl-Aurora-CO-80013/58887563_zpid/,"20221 E Lasalle Place, Aurora, CO 80013","MLS ID #7551277, HOMESMART","$578,000",3,2,"1,213"
https://www.zillow.com/homedetails/8122-W-Highway-24-Cascade-CO-80809/181728027_zpid/,"8122 W Highway 24, Cascade, CO 80809",VENTERRA REAL ESTATE LLC,"$365,000",3,2,"1,213"
https://www.zillow.com/homedetails/435-32nd-Rd-UNIT-235-Grand-Junction-CO-81520/13980307_zpid/,"435 32nd Rd UNIT 235, Grand Junction, CO 81520","RE/MAX 4000, INC. Listing provided by GJARA","$106,000",3,2,"1,213"
https://www.zillow.com/homedetails/208-W-52nd-St-Loveland-CO-80538/13897872_zpid/,"208 W 52nd St, Loveland, CO 80538","RE/MAX ALLIANCE-FTC DWTN, Laura Olive","$465,000",4,3,"2,194"
https://www.zillow.com/homedetails/964-Alpensee-Dr-Breckenridge-CO-80424/194081387_zpid/,"964 Alpensee Dr, Breckenridge, CO 80424","YOUR CASTLE SUMMIT, LLC","$2,250,000",4,3,"2,194"
https://www.zillow.com/homedetails/201-Shady-Ln-Palmer-Lake-CO-80133/13645836_zpid/,"201 Shady Ln, Palmer Lake, CO 80133","LEE AND ASSOCIATES REAL ESTATE, INC.","$555,000",4,3,"2,194"
https://www.zillow.com/homedetails/902-Cumberland-Dr-Jefferson-CO-80456/13988054_zpid/,"902 Cumberland Drive, Jefferson, CO 80456","MLS ID #3583581, ENGEL & VOLKERS DENVER","$189,900",4,3,"2,194"
https://www.zillow.com/homedetails/118-Big-Bend-Ct-Durango-CO-81301/72298887_zpid/,"118 Big Bend Ct, Durango, CO 81301",,"$994,500",4,3,"2,194"
https://www.zillow.com/homedetails/410-Beaver-Rd-Idaho-Springs-CO-80452/339561790_zpid/,"410 Beaver Road, Idaho Springs, CO 80452","MLS ID #2313946, LOKATION","$414,000",4,3,"2,194"
