link,address,dealer,price,beds,baths,area
https://www.zillow.com/homedetails/26271-Richmond-Hill-Rd-Conifer-CO-80433/124230068_zpid/,"26271 Richmond Hill Road, Conifer, CO 80433","MLS ID #5038277, LIV SOTHEBY'S INTERNATIONAL REALTY","$3,750,000",4,2,"1,370"
https://www.zillow.com/homedetails/3920-N-Carefree-Cir-Cir-CO-80917/13587516_zpid/,"3920 N Carefree Cir, Cir, CO 80917","NEST EGG REALTY, LLC","$414,719",4,2,"1,370"
https://www.zillow.com/homedetails/328-Quay-St-Lakewood-CO-80226/13768035_zpid/,"328 Quay St, Lakewood, CO 80226","RE/MAX ALLIANCE-FTC SOUTH, Kim Choi","$549,000",4,2,"1,370"
https://www.zillow.com/homedetails/551-Bellevue-Pl-Pueblo-CO-81004/14029194_zpid/,"551 Bellevue Pl, Pueblo, CO 81004",STONE GABLE REALTY,"$255,000",4,2,"1,370"
https://www.zillow.com/homedetails/1152-S-Zeno-Way-UNIT-A-Aurora-CO-80017/13072775_zpid/,"1152 S Zeno Way UNIT A, Aurora, CO 80017","OWN-SWEETHOME REALTY, Irina Debirova","$350,000",4,2,"1,370"
https://www.zillow.com/homedetails/407-Hover-St-Longmont-CO-80503/13219322_zpid/,"407 Hover Street, Longmont, CO 80501","MLS ID #2346357, HOMESMART REALTY","$648,900",4,2,"1,370"
https://www.zillow.com/homedetails/21955-Sweet-Rd-Peyton-CO-80831/121870212_zpid/,"21955 Sweet Rd, Peyton, CO 80831",THE PLATINUM GROUP,"$634,900",4,4,"2,793"
https://www.zillow.com/homedetails/2732-Northcrest-Dr-Colorado-Springs-CO-80918/13588722_zpid/,"2732 Northcrest Dr, Colorado Springs, CO 80918","THE DANIELS TEAM, LLC","$475,000",4,4,"2,793"
https://www.zillow.com/homedetails/60001-County-Road-G-Center-CO-81125/236468797_zpid/,"60001 County Road G, Center, CO 81125",,"$500,000",4,4,"2,793"
https://www.zillow.com/homedetails/2237-Del-Mar-Dr-Colorado-Springs-CO-80910/13626558_zpid/,"2237 Del Mar Dr, Colorado Springs, CO 80910",RE/MAX REAL ESTATE GROUP LLC,"$280,000",4,4,"2,793"
https://www.zillow.com/homedetails/11210-Wintergreen-Dr-Parker-CO-80138/13474150_zpid/,"11210 Wintergreen Drive, Parker, CO 80138","MLS ID #4224645, YOUR HOME SOLD GUARANTEED REALTY","$524,990",4,4,"2,793"
https://www.zillow.com/homedetails/3809-Nuevo-Dr-Colorado-Springs-CO-80918/13583284_zpid/,"3809 Nuevo Dr, Colorado Springs, CO 80918",RE/MAX REAL ESTATE GROUP LLC,"$614,900",4,4,"2,793"
https://www.zillow.com/homedetails/9197-Glitter-Way-Colorado-Springs-CO-80924/2066829741_zpid/,"9197 Glitter Way, Colorado Springs, CO 80924",KELLER WILLIAMS REALTY DTC LLC,"$889,000",4,4,"2,793"
https://www.zillow.com/homedetails/18234-E-Arizona-Ave-Aurora-CO-80017/2054727790_zpid/,"18234 E Arizona Avenue  Unit E, Aurora, CO 80017","MLS ID #5961318, KEY TEAM REAL ESTATE CORP.","$298,000",4,4,"2,793"
https://www.zillow.com/homedetails/524-Hampstead-Ave-Castle-Rock-CO-80104/13495183_zpid/,"524 Hampstead Ave, Castle Rock, CO 80104","KELLER WILLIAMS ACTION REALTY, LLC","$625,000",4,4,"2,793"
https://www.zillow.com/homedetails/1421-S-Dayton-Ct-Aurora-CO-80247/54642311_zpid/,"1421 S Dayton Court, Aurora, CO 80247","MLS ID #1727940, COMPASS - DENVER","$445,000",3,3,"1,712"
https://www.zillow.com/homedetails/7332-Island-Cir-Boulder-CO-80301/13199506_zpid/,"7332 Island Cir, Boulder, CO 80301","COLDWELL BANKER REALTY-BOULDER, Charlene Rosenblatt","$1,995,000",3,3,"1,712"
https://www.zillow.com/homedetails/20085-Lost-Arrowhead-Dr-Monument-CO-80132/13644579_zpid/,"20085 Lost Arrowhead Dr, Monument, CO 80132",THE PLATINUM GROUP,"$930,000",3,3,"1,712"
https://www.zillow.com/homedetails/19-Jason-St-Castle-Rock-CO-80109/121866492_zpid/,"19 Jason Street, Castle Rock, CO 80109","MLS ID #9904170, MEGASTAR REALTY","$105,000",3,3,"1,712"
https://www.zillow.com/homedetails/332-Highland-Hill-Dr-Durango-CO-81301/13932240_zpid/,"332 Highland Hill Dr, Durango, CO 81301",,"$999,000",3,3,"1,712"
https://www.zillow.com/homedetails/4045-Applewood-St-Grand-Junction-CO-81506/13962662_zpid/,"4045 Applewood St, Grand Junction, CO 81506",RED GLASSES REALTY KELLER WILLIAMS. Listing provided by GJARA,"$575,000",3,3,"1,712"
https://www.zillow.com/homedetails/0-Road-398-Buena-Vista-CO-81211/402736776_zpid/,"000 Road 398, Buena Vista, CO 81211","MLS ID #6263277, MOSSY OAK PROPERTIES / MOUNTAIN RANCH AND HOME BROKERS","$275,000",3,3,"1,712"
https://www.zillow.com/homedetails/746-Bow-Mountain-Rd-Boulder-CO-80304/13197074_zpid/,"746 Bow Mountain Road, Boulder, CO 80304","MLS ID #6588501, RIVER CITY REAL ESTATE, LLC","$950,000",3,3,"1,712"
https://www.zillow.com/homedetails/168-W-Sterne-Pkwy-Littleton-CO-80120/54648370_zpid/,"168 Sterne Parkway, Littleton, CO 80120","MLS ID #6114824, CENTURY 21 PROSPERITY","$449,900",2,2,"1,112"
https://www.zillow.com/homedetails/1972-S-Lincoln-St-Denver-CO-80210/13377865_zpid/,"1972 S Lincoln Street, Denver, CO 80210","MLS ID #8224981, COMPASS - DENVER","$995,000",2,2,"1,112"
https://www.zillow.com/homedetails/Tbd-Cr-243-Durango-CO-81301/2063301015_zpid/,"Tbd Cr 243, Durango, CO 81301",,"$55,000",2,2,"1,112"
https://www.zillow.com/homedetails/1253-Elizabeth-St-Denver-CO-80206/13326288_zpid/,"1253 Elizabeth Street, Denver, CO 80206","MLS ID #1817416, LIV SOTHEBY'S INTERNATIONAL REALTY","$1,450,000",2,2,"1,112"
https://www.zillow.com/homedetails/1281-Conifer-Trl-Elizabeth-CO-80107/13525790_zpid/,"1281 Conifer Trail, Elizabeth, CO 80107","MLS ID #9540111, RE/MAX PROFESSIONALS","$825,000",2,2,"1,112"
https://www.zillow.com/homedetails/7738-Bone-Creek-Point-Colorado-Springs-CO-80924/402574868_zpid/,"7738 Bone Creek Point, Colorado Springs, CO 80924",Challenger Homes,"$416,118",2,2,"1,112"
https://www.zillow.com/homedetails/88-S-Ridge-Cir-Bayfield-CO-81122/13937323_zpid/,"88 S Ridge Cir, Bayfield, CO 81122",,"$439,000",2,2,"1,112"
https://www.zillow.com/homedetails/8268-High-St-Denver-CO-80229/12988894_zpid/,"8268 High Street, Denver, CO 80229","MLS ID #5204370, REAL BROKER, LLC DBA REAL","$400,000",2,2,"1,112"
https://www.zillow.com/homedetails/19723-E-Wagontrail-Dr-Centennial-CO-80015/13110342_zpid/,"19723 E Wagontrail Drive, Centennial, CO 80015","MLS ID #5481047, 8Z REAL ESTATE","$465,000",2,2,"1,112"
https://www.zillow.com/homedetails/15208-W-Baker-Ave-Lakewood-CO-80228/116408463_zpid/,"15208 W Baker Avenue, Lakewood, CO 80228","MLS ID #4306910, GUIDE REAL ESTATE","$975,000",3,4,"3,078"
https://www.zillow.com/homedetails/41860-Muirfield-Loop-Elizabeth-CO-80107/82593177_zpid/,"41860 Muirfield Loop, Elizabeth, CO 80107","MLS ID #8630112, RE/MAX LEADERS","$925,000",3,4,"3,078"
https://www.zillow.com/homedetails/15776-E-Center-Ave-Aurora-CO-80017/13065388_zpid/,"15776 E Center Avenue, Aurora, CO 80017","MLS ID #6608152, MB PEZZUTI & ASSOCIATES","$449,000",3,4,"3,078"
https://www.zillow.com/homedetails/6231-Wallowing-Way-Colorado-Springs-CO-80925/181558756_zpid/,"6231 Wallowing Way, Colorado Springs, CO 80925",YOUR HOME SOLD GUARANTEED REALTY - BARB HAS THE BUYERS TEAM,"$385,000",3,4,"3,078"
